date,actual_close,lstm_pred,gru_pred
2015-08-10,114.77999,95.87358,108.31864
2015-08-11,108.8,95.56324,108.39173
2015-08-12,110.47,95.28671,108.29853
2015-08-13,110.38,95.070305,108.23395
2015-08-14,111.16,94.89018,108.08667
2015-08-17,112.32,94.76002,107.987625
2015-08-18,111.68,94.670525,107.879555
2015-08-19,110.25,94.59121,107.68753
2015-08-20,107.98,94.494995,107.407776
2015-08-21,101.399994,94.35738,107.02401
2015-08-24,98.855,94.11404,106.35758
2015-08-25,99.452,93.789825,105.62251
2015-08-26,105.15,93.41968,104.902626
2015-08-27,108.24999,93.134476,104.64888
2015-08-28,108.6,92.95016,104.5889
2015-08-31,108.09,92.796555,104.36999
2015-09-01,103.259995,92.70456,104.33329
2015-09-02,107.7,92.54966,103.92893
2015-09-03,105.81,92.437546,103.80719
2015-09-04,104.74,92.31841,103.59724
2015-09-08,107.67,92.17017,103.28561
2015-09-09,105.6,92.06138,103.17905
2015-09-10,107.92,91.95691,103.03579
2015-09-11,109.490005,91.90419,103.05878
2015-09-14,110.54,91.952354,103.35866
2015-09-15,111.47,92.08336,103.71323
2015-09-16,111.59,92.25304,103.95475
2015-09-17,109.22,92.40087,103.9562
2015-09-18,108.759995,92.45968,103.66446
2015-09-21,110.44,92.45728,103.39057
2015-09-22,108.71,92.46214,103.35076
2015-09-23,109.590004,92.494675,103.49185
2015-09-24,110.24,92.51046,103.4813
2015-09-25,109.96,92.557396,103.63105
2015-09-28,107.80001,92.62955,103.80357
2015-09-29,104.55,92.621864,103.565865
2015-09-30,105.74,92.527374,103.18133
2015-10-01,105.04,92.382355,102.806984
2015-10-02,105.82,92.176765,102.358116
2015-10-05,106.2,91.9538,102.02047
2015-10-06,106.71,91.72998,101.76217
2015-10-07,106.2,91.534615,101.63834
2015-10-08,104.96,91.38749,101.65009
2015-10-09,107.49,91.249695,101.56522
2015-10-12,106.990005,91.15881,101.57705
2015-10-13,107.16,91.10875,101.63912
2015-10-14,105.66,91.066734,101.59659
2015-10-15,107.23,90.98325,101.34825
2015-10-16,106.44,90.9294,101.31136
2015-10-19,107.100006,90.90612,101.35833
2015-10-20,109.08,90.97132,101.67887
2015-10-21,109.07001,91.09774,101.96797
2015-10-22,110.72001,91.25885,102.204346
2015-10-23,114.16,91.44936,102.42337
2015-10-26,110.51001,91.700676,102.78961
2015-10-27,109.80999,91.87868,102.72804
2015-10-28,114.34,91.99896,102.63716
2015-10-29,115.54,92.17702,102.949
2015-10-30,114.56,92.384834,103.28054
2015-11-02,116.16,92.58722,103.54276
2015-11-03,117.51,92.80718,103.870705
2015-11-04,116.95,93.07422,104.35937
2015-11-05,116.42,93.3413,104.72471
2015-11-06,116.55999,93.60623,105.05588
2015-11-09,116.07,93.85418,105.34345
2015-11-10,112.43,94.05853,105.50545
2015-11-11,111.79,94.15267,105.3719
2015-11-12,111.41,94.15625,105.17145
2015-11-13,108.15,94.06707,104.861946
2015-11-16,109.91999,93.934875,104.62546
2015-11-17,109.46,93.82804,104.64391
2015-11-18,112.91,93.66006,104.35364
2015-11-19,114.35999,93.543846,104.39863
2015-11-20,114.86,93.51883,104.70738
2015-11-23,113.35,93.535675,104.944046
2015-11-24,114.45,93.526,104.94573
2015-11-25,113.630005,93.54275,105.091576
2015-11-27,113.41001,93.56483,105.212074
2015-11-30,113.9,93.583435,105.27751
2015-12-01,112.95,93.61658,105.38924
2015-12-02,111.95,93.68336,105.60191
2015-12-03,110.91001,93.74407,105.6741
2015-12-04,114.6,93.77246,105.5915
2015-12-07,113.88,93.89926,105.963066
2015-12-08,113.83001,94.03107,106.09936
2015-12-09,111.31,94.15755,106.17349
2015-12-10,111.84,94.16676,105.76537
2015-12-11,108.96999,94.10074,105.37872
2015-12-14,108.29,93.93828,104.891106
2015-12-15,106.369995,93.737335,104.571045
2015-12-16,107.19001,93.46839,104.13042
2015-12-17,104.909996,93.20959,103.910095
2015-12-18,102.09,92.93168,103.61924
2015-12-21,103.33,92.60008,103.14802
2015-12-22,103.23,92.28964,102.85284
2015-12-23,104.56,92.006645,102.61239
2015-12-24,104.01,91.78857,102.53087
2015-12-28,102.83001,91.52892,102.09335
2015-12-29,104.68,91.24743,101.66729
2015-12-30,103.32,91.02315,101.53175
2015-12-31,101.35,90.83408,101.43018
2016-01-04,101.44,90.62236,101.13136
2016-01-05,98.88501,90.42542,100.90964
2016-01-06,96.949,90.18942,100.53711
2016-01-07,92.857,89.91111,100.074745
2016-01-08,93.34899,89.5198,99.312836
2016-01-11,94.85999,89.10599,98.66214
2016-01-12,96.238,88.76184,98.29513
2016-01-13,93.762,88.46658,97.97426
2016-01-14,95.81401,88.15131,97.48188
2016-01-15,93.512,87.863464,97.088196
2016-01-19,93.059,87.55716,96.617195
2016-01-20,93.184,87.24636,96.164764
2016-01-21,92.71199,86.899376,95.616165
2016-01-22,97.641,86.54922,95.13762
2016-01-25,95.736,86.3754,95.219765
2016-01-26,96.26601,86.24726,95.15867
2016-01-27,89.940994,86.182655,95.14018
2016-01-28,90.585,86.03235,94.7279
2016-01-29,93.715,85.88575,94.41061
2016-02-01,92.83899,85.792984,94.24326
2016-02-02,90.961,85.68152,93.93056
2016-02-03,92.761,85.498344,93.426025
2016-02-04,93.506,85.35026,93.173775
2016-02-05,91.009,85.20796,92.91992
2016-02-08,91.968,85.04535,92.62505
2016-02-09,91.94799,84.90001,92.42053
2016-02-10,91.25201,84.76259,92.217094
2016-02-11,90.7,84.61397,91.98321
2016-02-12,90.98,84.380196,91.45253
2016-02-16,93.545,84.13879,91.106064
2016-02-17,94.979,83.973366,91.036705
2016-02-18,93.177,83.996414,91.473076
2016-02-19,92.965,84.015656,91.575066
2016-02-22,93.778,83.98576,91.336815
2016-02-23,91.659,83.9657,91.231224
2016-02-24,93.022,83.92517,91.070564
2016-02-25,93.66,83.87296,90.888985
2016-02-26,93.80799,83.82031,90.74519
2016-02-29,93.594,83.82391,90.857704
2016-03-01,97.309,83.82968,90.836845
2016-03-02,97.522,83.91904,91.08914
2016-03-03,98.26,84.0821,91.39429
2016-03-04,99.729996,84.29907,91.72239
2016-03-07,98.606995,84.555916,92.04584
2016-03-08,97.79699,84.76503,92.08836
2016-03-09,97.885,84.8982,91.97069
2016-03-10,97.935,85.03349,92.09955
2016-03-11,98.984,85.17265,92.273254
2016-03-14,99.233,85.31901,92.456345
2016-03-15,101.24,85.53303,92.8968
2016-03-16,102.57,85.794945,93.30608
2016-03-17,102.41001,86.08567,93.671074
2016-03-18,102.53001,86.37486,93.95172
2016-03-21,102.52,86.661674,94.23717
2016-03-22,103.3,86.90733,94.370995
2016-03-23,102.729996,87.1389,94.581436
2016-03-24,102.28,87.32607,94.68826
2016-03-28,101.81999,87.44128,94.655136
2016-03-29,104.24,87.54351,94.814606
2016-03-30,106.05001,87.73565,95.35578
2016-03-31,105.5,87.99715,95.9296
2016-04-01,106.46,88.26167,96.30248
2016-04-04,107.56,88.5273,96.62916
2016-04-05,106.3,88.80495,96.99146
2016-04-06,107.409996,89.01176,97.068886
2016-04-07,105.06,89.18397,97.206314
2016-04-08,105.18,89.261826,97.12769
2016-04-11,105.53,89.3013,97.14407
2016-04-12,106.91,89.34018,97.284325
2016-04-13,108.439995,89.40768,97.53996
2016-04-14,108.5,89.5438,97.977646
2016-04-15,106.34,89.72179,98.42215
2016-04-18,104.04,89.85821,98.5833
2016-04-19,103.48999,89.87598,98.34878
2016-04-20,103.71,89.78772,98.00898
2016-04-21,102.57,89.67148,97.87471
2016-04-22,102.29,89.51412,97.67301
2016-04-25,101.70999,89.3253,97.42857
2016-04-26,101.01,89.1336,97.31002
2016-04-27,94.678,88.90867,97.07681
2016-04-28,91.792,88.58929,96.59971
2016-04-29,90.739,88.18046,95.98909
2016-05-02,90.641,87.70891,95.340225
2016-05-03,92.132,87.182976,94.61109
2016-05-04,91.174,86.637375,94.02501
2016-05-05,90.804,86.07515,93.51766
2016-05-06,90.296,85.54977,93.091965
2016-05-09,90.366005,85.06552,92.71554
2016-05-10,90.97899,84.62414,92.3703
2016-05-11,90.093,84.23979,92.09213
2016-05-12,87.979,83.8848,91.78368
2016-05-13,88.15401,83.51949,91.35703
2016-05-16,91.427,83.16244,90.9317
2016-05-17,91.047005,82.953415,90.91619
2016-05-18,92.09,82.887215,91.08181
2016-05-19,91.737,82.97505,91.40269
2016-05-20,92.732,83.1226,91.560745
2016-05-23,93.909,83.30551,91.63418
2016-05-24,95.342,83.48251,91.592026
2016-05-25,96.998,83.688065,91.72276
2016-05-26,97.786995,83.91086,91.967026
2016-05-27,97.729,84.17042,92.25036
2016-05-31,97.251,84.43105,92.451584
2016-06-01,95.886,84.657,92.51531
2016-06-02,95.167,84.83114,92.4845
2016-06-03,95.361,85.01058,92.58917
2016-06-06,96.054,85.170685,92.66577
2016-06-07,96.44199,85.28782,92.60896
2016-06-08,96.354004,85.39973,92.66174
2016-06-09,97.046,85.48978,92.66544
2016-06-10,96.258,85.59385,92.79821
2016-06-13,94.796,85.65601,92.74825
2016-06-14,94.914,85.61427,92.41896
2016-06-15,94.602,85.4915,92.0645
2016-06-16,95.0,85.26825,91.58781
2016-06-17,92.83899,84.99857,91.24523
2016-06-20,92.616,84.66868,90.87128
2016-06-21,93.404,84.33203,90.63133
2016-06-22,93.062996,84.105606,90.725204
2016-06-23,93.589,83.943016,90.812836
2016-06-24,90.96,83.83354,90.87341
2016-06-27,89.635,83.65129,90.480255
2016-06-28,91.14499,83.39196,89.933586
2016-06-29,91.934,83.151024,89.72463
2016-06-30,93.102,82.94727,89.596466
2016-07-01,93.384,82.84059,89.671745
2016-07-05,92.556,82.82645,89.83957
2016-07-06,93.034004,82.814186,89.81692
2016-07-07,93.433,82.81184,89.8055
2016-07-08,94.154,82.819176,89.76832
2016-07-11,94.44501,82.893105,89.976776
